name,type,brand,description,link,price,in_stock,discount
"JMFSD25 Акустическая гитара Kopo Series SD25, дредноут, Prodipe",Акустическая гитара,Prodipe,"Часто бывает сложно выбрать первую гитару...
Поскольку выбора древесины недостаточно, мастера Prodipe Guitars работали над достижением экстраординарного уровня для студенческих акустических гитар: идеальное положение грифа, облегченные пружины и усиленная задняя дека, чтобы получить гитару с характером, мощную и хорошо сбалансированную.
Ингредиенты, которые делают модель SD25 одной из лучших на рынке по соотношению цены и качества!

Лучшие сочетания древесины и безупречная конструкция.
Верхняя дека из ели, древесины, известного своими акустическими качествами.
Задняя дека и обечайка из индонезийского красного дерева, известного своим чистым звуком с глубокими, четко выраженными басовыми нотами.
Струны: Savarez Acoustic Bronze Light (Ref: A130L).

Форма корпуса: дредноут.
Верхняя дека: ель.
Задняя дека и обечайка: индонезийское красное дерево.
Гриф: красное дерево.
Порожки: пластик АБС.
Накладка грифа: композит палисандра.
Отделка: матовый лак.
Колковая механика: литая, никелированная.
Струны: Savarez Acoustic Bronze Light",https://muzlider.ru/catalog/aktsiya/37199/,15040,TRUE,TRUE
"F400-NS Гитара акустическая, цвет натуральный, Yamaha",Акустическая гитара,Yamaha,"Дизайн.
Простые линии и сдержанная эстетика классического дизайна акустической гитары, доступные в трех различных корпусах, подходящих под ваш стиль игры. Легкие, но прочные, эти гитары предлагают качество, производительность и звук, которыми славятся инструменты Yamaha.

Каждая модель серии F400, доступная в натуральном или черном матовом исполнении, выглядит так же хорошо в вашей гостиной, как и в ваших руках. Хорошо сбалансированное ощущение и плавные контуры гарантируют игровой опыт, который обязательно впечатлит и вдохновит вас играть часами напролет.

Звук и играбельность.
Гитары серии F400 отличаются компактными, легкими корпусами, укороченными струнами и быстрым откликом, что делает их легкими для игры для любого человека. Сочетая в себе безошибочный тон Yamaha и мастерство, эти гитары обеспечивают насыщенный резонирующий звук с продолжительным сустейном.

Модель F400.
Корпус в традиционном западном стиле обеспечивает насыщенный, богатый звук, идеально подходящий для игры медиатором и боем.

F400 предлагает тот же акцент на качестве и звуке, что и все акустические гитары Yamaha, и отличается современным и простым дизайном. Традиционный корпус вестерн обеспечивает богатый и насыщенный звук.

Традиционный корпус вестерн.
Современная матовая отделка и простой дизайн без защитной накладки и окантовки корпуса, что позволяет почувствовать текстуру дерева.
Сверхтонкое полиуретановое покрытие и тщательно продуманные пружины для максимального резонанса.
Длина мензуры 634 мм и более узкое расстояние между струнами для большего комфорта.
Высокая прочность и стабильность, подтвержденные стандартом качества Yamaha.

Форма корпуса: вестерн.
Мензура: 634 мм.
Длина корпуса: 505 мм.
Общая длина: 1029 мм.
Ширина корпуса: 412 мм.
Толщина корпуса: 96-116 мм.
Ширина верхнего порожка: 43 мм.
Расстояние между струнами: 10 мм.
Верхняя дека: ель.
Задняя дека и обечайка: акустическая древесина местного происхождения.
Гриф: акустическая древесина местного происхождения.
Накладка грифа: палисандр.
Радиус накладки грифа: 400 мм.
Бридж: палисандр.
Порожки: карбамид.
Фиксаторы струн: пластик АБС, черные.
Колковая механика: TM-14P, хромированная.
Розетка: коричневая.
Толщины струн: .012/.016/.024/.032/.042/.053.
Цвет: натуральный.
Отделка: матовая.",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/48807/,17450,TRUE,FALSE
LAG T70D-NAT Акустическая гитара,Акустическая гитара,LAG,"LAG GLA T70D NAT выделяется на фоне гитар начального уровня своим звучанием. Это достигается за счет верхней деки из массива ели, которая отличается звонким и громким звучанием. Качество звука в сочетании с удобством игры на инструменте является идеальным вариантом для начинающего музыканта.  

Все гитары LAG имеют стильный фирменный дизайн. Как знак соединения с Францией и ее историей, гитары LAG носят окситанский крест, вплетенный в розетку.

Корпус:

Тип: Dreadnought
Верхняя дека: массив ели Энгельмана
Нижняя дека и обечайки: свитения (порода красного дерева)
Отделка: сатин
Бридж: браунвуд
Порожек бриджа: компенсирующий черный графитовый, 72 мм
Гриф:

Гриф: окоуме с открытыми порами
Отделка: сатин
Анкер: 2-стронний
Накладка: свитения (порода красного дерева)
Лады: 20 (серебро/никель)
Мензура: 650 мм
Голова грифа: браунвуд + кленовая вставка с лого
Фурнитура:
Артикул 00000016423
Колки: литые/1:15/сатиновые черные
Порожек: черный графитовый/43мм (акустика), 46 мм (нейлон)
Электроакустические гитары: система Direct Lag",https://muzlider.ru/catalog/aktsiya/37195/,25695,TRUE,TRUE
"JMFSA25 Акустическая гитара EA SA25, аудиториум, Prodipe",Акустическая гитара,Prodipe,"Баланс, мощность, точность и комфорт!
Хотя Prodipe выбирают породы дерева, которые являются более доступными с точки зрения соотношения цены и качества, звук их гитар достоин инструментов, сделанных из самых благородных материалов и продаваемых по гораздо более высокой цене.

Акустическая гитара в корпусе аудиториум с идеальным положением грифа, облегченными пружинами и усиленной задней декой. Хорошо сбалансированный инструмента с характером и мощью.

Лучшие сочетания древесины и безупречная конструкция.
Верхняя дека из ели, древесины, известного своими акустическими качествами.
Задняя дека и обечайка из индонезийского красного дерева, известного своим чистым звуком с глубокими, четко выраженными басовыми нотами.
Струны: Savarez Acoustic Bronze Light (Ref: A130L).

Форма корпуса: аудиториум.
Верхняя дека: ель.
Задняя дека и обечайка: индонезийское красное дерево.
Гриф: красное дерево.
Порожки: пластик АБС.
Накладка грифа: композит палисандра.
Отделка: матовый лак.
Колковая механика: литая, никелированная.
Струны: Savarez Acoustic Bronze Light",https://muzlider.ru/catalog/aktsiya/37200/,15040,TRUE,TRUE
Электро-акустическая гитара Cort AD810E-BKS Standard Series,Электроакустическая гитара,Cort,"Электроакустическая гитара
Форма корпуса: Дредноут (Dreadnought)
Материал верхней деки: Ель
Нижняя дека и обечайка: Красное дерево (mahogany)
Гриф: Красное дерево (mahogany)
Профиль грифа: C shape
Накладка: Палисандр
Мензура: 647,7 мм
Инкрустация: Белые точки
Колки: Die cast, никелированные
Бридж: Rosewood / Scooped
Электроника: CORT CE304T - Ceramic P/U
Окантовка: Есть
Струны: D'Addario USA 80/20 Bronze Light
Цвет: Чёрный сатин
Комплектация: В коробке",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/10099/,15190,TRUE,FALSE
Earth60-BK Акустическая гитара Cort,Акустическая гитара,Cort,"В знак уважения к великим винтажным акустическим гитарам, серия Earth воспроизводит их внешний вид, звучание, ощущения и играбельность в бескомпромиссном качестве и по отличной цене. Earth60 представляет собой золотой стандарт акустических гитар: верхняя дека из массива ели. Вместе с нижней декой и обечайками из красного дерева эта комбинация древесины обеспечивает проверенный временем, фирменный, яркий, но при этом насыщенный тон, который любят все музыканты, в то время как полноразмерный корпус дредноут обеспечивает полноценный выход и мощную проекцию.

Верхняя дека из массива ситхинской ели.
Ель обеспечивает идеальный баланс между прочностью и гибкостью, поэтому она пользуется огромной популярностью как древесина, которую выбирают для верхних дек акустических гитар. Универсальный звуковой характер ели делает ее идеальной для самых разных музыкальных жанров и стилей игры.

Задняя дека и обечайка из красного дерева.
Яркое, но естественное звучание с сильными и теплыми средними частотами, красное дерево на протяжении многих десятилетий является стандартом для задней деки и обечаек акустических гитар премиум-класса.

Отделка с открытыми порами.
Отделка с открытыми порами не только улучшает резонанс древесины, но и снижает вес гитары, способствуя более комфортной игре.

Струны с покрытием.
Высококачественное покрытие струн противостоит влажности, грязи и поту, увеличивает срок службы и улучшает играбельность струн.

Крепление грифа ласточкин хвост.
Опытные мастера Cort тщательно и надежно крепят гриф к корпусу, используя соединение типа ""ласточкин хвост"". Такое соединение способствует передаче резонансных колебаний корпуса к грифу без потерь энергии, сохраняя при этом мельчайшие детали звучания.

Крепление грифа: ласточкин хвост.
Корпус: дредноут.
Ширина верхнего порожка: 43мм (1 11/16"").
Верхняя дека: массив ели.
Задняя дека и обечайка: красное дерево.
Гриф: красное дерево.
Окантовка: черная.
Накладка грифа: мербау.
Лады: 20.
Мензура: 648мм (25.5"").
Инкрустация накладки грифа: белые точки.
Колковая механика: литая.
Розетка: черная/кремовая.
Бридж: мербау.
Струны: с покрытием.
Система пружин: улучшенная X-образная.
Цвет: черный.",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/47971/,16690,TRUE,FALSE
"JMFSA25 Акустическая гитара EA SA25, аудиториум, Prodipe",Акустическая гитара,Prodipe,"Баланс, мощность, точность и комфорт!
Хотя Prodipe выбирают породы дерева, которые являются более доступными с точки зрения соотношения цены и качества, звук их гитар достоин инструментов, сделанных из самых благородных материалов и продаваемых по гораздо более высокой цене.

Акустическая гитара в корпусе аудиториум с идеальным положением грифа, облегченными пружинами и усиленной задней декой. Хорошо сбалансированный инструмента с характером и мощью.

Лучшие сочетания древесины и безупречная конструкция.
Верхняя дека из ели, древесины, известного своими акустическими качествами.
Задняя дека и обечайка из индонезийского красного дерева, известного своим чистым звуком с глубокими, четко выраженными басовыми нотами.
Струны: Savarez Acoustic Bronze Light (Ref: A130L).

Форма корпуса: аудиториум.
Верхняя дека: ель.
Задняя дека и обечайка: индонезийское красное дерево.
Гриф: красное дерево.
Порожки: пластик АБС.
Накладка грифа: композит палисандра.
Отделка: матовый лак.
Колковая механика: литая, никелированная.
Струны: Savarez Acoustic Bronze Light",https://muzlider.ru/catalog/aktsiya/37200/,15040,TRUE,TRUE
Акустическая гитара Fante FT-221-BK,Акустическая гитара,Fante,"Форма корпуса: дредноут, с вырезом.
 Верхняя дека: липа.
 Задняя дека и обечайка: липа.
 Гриф: катальпа с анкером.
 Накладка грифа и бридж: пластик АБС.
 Струны металлические.
 Колковая механика: открытая.
 Цвет: черный.",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/12334/,3990,TRUE,FALSE
S61 Акустическая гитара Parkwood,Акустическая гитара,Parkwood,"S61 Акустическая гитара, дредноут, с чехлом, Parkwood

Инструменты серии S6) представляют собой сочетание материалов класса люкс, мастерства изготовления мирового уровня и умеренной цены.

Верхняя дека из тщательно отобранной древесины ситхинской ели, обечайки из шпона махагони и задняя дека из массива махагони обеспечивают общую жесткость и прочность корпуса гитары.

Перламутровая розетка и инкрустация накладки грифа добавляют элегантности и изящности внешнему виду инструмента.

Классическое сочетание пород древесины обеспечивает гитаре сильное, открытое, воздушное основное звучание, идеально подходящее для тех, кто ищет качества по привлекательной цене.

Форма корпуса: дредноут.
Крепление грифа: ласточкин хвост.
Форма пружин: Х.
Верхняя дека: массив ситхинской ели.
Задняя дека: массив махагони.
Обечайки: шпон махагони.
Гриф: махагони.
Накладка грифа: индийский палисандр.
Порожки: кость.
Анкерный стержень: двойного действия.
Отделка: глянцевая.
Цвет: натуральный.
Чехол в комплекте.",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/48006/,35810,TRUE,FALSE
Sevillia IW-240M RDS Гитара акустическая,Акустическая гитара,Sevillia,"Гитара сочетает в себе красивый дизайн, высокое качество материалов и отличное звучание. Благодаря своей конструкции и использованию качественных компонентов, она подойдет как для начинающих музыкантов, так и для опытных исполнителей. Sevillia IW-240M - отличный выбор для тех, кто ценит комфорт игры и качество звучания.

Характеристики
Модель IW-240M
Количество струн 6
Форма корпуса Дредноут (41"")
Верхняя дека Ель
Нижняя дека и обечайка Меранти
Анкер есть
Гриф Меранти
Накладка грифа Палисандр
Мензура 650 мм
Бридж Палисандр
Струны Металл
Цвет гитары Красный (RDS)
Страна-производитель Индонезия",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/46800/,9550,TRUE,FALSE
Акустическая гитара Fante FT-221-3TS,Акустическая гитара,Fante,"Форма корпуса: дредноут, с вырезом.
Верхняя дека: липа.
Задняя дека и обечайка: липа.
Гриф: катальпа с анкером.
Накладка грифа и бридж: пластик АБС.
Струны металлические.
Колковая механика: открытая.
Цвет: санберст.",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/16116/,3990,TRUE,FALSE
Sevillia IWC-235 MTBK Гитара акустическая,Акустическая гитара,Sevillia,"Количество струн 6
Верхняя дека Меранти
Нижняя дека и обечайка Меранти
Гриф Меранти
Накладка грифа Палисандр
Мензура 650 мм
Бридж Палисандр
Цвет гитары Чёрный
Страна-производитель Индонезия
Струны Металл",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/22416/,8950,TRUE,FALSE
Акустическая гитара Sevillia IW-235M NS,Акустическая гитара,Sevillia,"Количество струн 6
 Верхняя дека Меранти
 Нижняя дека и обечайка Меранти
 Гриф Дерево Нато
 Накладка грифа Палисандр
 Мензура 650 мм
 Бридж Палисандр
 Цвет гитары Натуральный (NS)
 Страна-производитель Индонезия",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/18826/,8290,TRUE,FALSE
Акустическая гитара Cort AD810-SSB Standard Series,Акустическая гитара,Cort,"AD810-SSB Standard Series Акустическая гитара, санберст, Cort

Standard Series самая старая серия акустических гитар Cort, определяется превосходным качеством и доступной ценой. Гитары линейки Standard доступны для начинающих и любителей, но предлагают отличные характеристики, а разнообразие моделей позволяет выбрать инструмент для любой ситуации.

Верхняя дека из ели.
Ель обладает идеальным балансом между прочностью и гибкостью. Этим объясняется чрезвычайная популярность применения этой древесины в качестве материала для верхней деки акустических гитар. Имея столь универсальный характер звучания, ель отлично подходит для различных музыкальных жанров и стилей игры.

Нижняя дека и обечайка из красного дерева.
Яркое, но естественное, с сильной и теплой серединой, красное дерево остается стандартом для задней деки и обечайки акустических гитар в течении многих десятилетий.

Крепление грифа ласточкин хвост.
Прочное соединение, выполненное опытными мастерами. Ласточкин хвост передает вибрацию и резонанс корпуса гитары грифу без потерь энергии.

Струны с покрытием.
Высококачественное покрытие струн противостоит влажности, грязи и поту, увеличивает срок службы и улучшает играбельность струн.

Бридж с пазом.
Эксклюзивная форма бриджа с пазом позволяет увеличить угол струны на нижнем порожке. Это снижает натяжение струн вдоль грифа, уменьшая усталость пальцев и увеличивает длительность сустейна.

Форма корпуса: дредноут.
Мензура: 643мм.
20 ладов.
Верхняя дека: ель.
Задняя дека и обечайка: красное дерево.
Гриф: красное дерево.
Накладка грифа и бридж: палисандр.
Крепление грифа: ласточкин хвост.
Колковая механика: литая.
Ширина грифа у верхнего порожка: 43мм.
Система пружин: улучшенная X-образная.
Цвет: санберст.",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/12207/,10990,TRUE,FALSE
Акустическая гитара Cort AF510M-OP Standard Series,Акустическая гитара,Cort,"Концертная форма корпуса.
По сравнению с дредноутом, у концертного корпуса более сфокусированное и сбалансированное звучание, с менее акцентированным басом, сильными средними частотами и более чистыми и яркими верхами. Такое сбалансированное звучание корпуса концертной гитары делает ее идеальным инструментом для игры перебором, а также для соло.

Полностью из красного дерева.
Разработанная в соответствии с последними тенденциями рынка акустических гитар, у этой модели из красного дерева выполнены не только нижняя дека и обечайка, но также и верхняя дека. Несмотря на более темное звучание, по сравнению с елью, красное дерево производит более теплый тон с полноценным средним диапазоном.

Крепление грифа ласточкин хвост.
Прочное соединение, выполненное опытными мастерами. Ласточкин хвост передает вибрацию и резонанс корпуса гитары грифу без потерь энергии.

Струны с покрытием.
Высококачественное покрытие струн противостоит влажности, грязи и поту, увеличивает срок службы и улучшает играбельность струн.

Бридж с пазом.
Эксклюзивная форма бриджа с пазом позволяет увеличить угол струны на нижнем порожке. Это снижает натяжение струн вдоль грифа, уменьшая усталость пальцев и увеличивает длительность сустейна.

 Форма корпуса: фолк.
 20 ладов.
 Верхняя дека: красное дерево.
 Задняя дека и обечайка: красное дерево.
 Гриф: красное дерево.
 Накладка грифа и бридж: палисандр.
 Крепление грифа: ласточкин хвост.
 Система пружин: улучшенная X-образная.
 Цвет: натуральный.
 Отделка: открытые поры",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/10943/,10350,TRUE,FALSE
Earth60-NAT Акустическая гитара Cort,Акустическая гитара,Cort,"В знак уважения к великим винтажным акустическим гитарам, серия Earth воспроизводит их внешний вид, звучание, ощущения и играбельность в бескомпромиссном качестве и по отличной цене. Earth60 представляет собой золотой стандарт акустических гитар: верхняя дека из массива ели. Вместе с нижней декой и обечайками из красного дерева эта комбинация древесины обеспечивает проверенный временем, фирменный, яркий, но при этом насыщенный тон, который любят все музыканты, в то время как полноразмерный корпус дредноут обеспечивает полноценный выход и мощную проекцию.

Верхняя дека из массива ситхинской ели.
Ель обеспечивает идеальный баланс между прочностью и гибкостью, поэтому она пользуется огромной популярностью как древесина, которую выбирают для верхних дек акустических гитар. Универсальный звуковой характер ели делает ее идеальной для самых разных музыкальных жанров и стилей игры.

Задняя дека и обечайка из красного дерева.
Яркое, но естественное звучание с сильными и теплыми средними частотами, красное дерево на протяжении многих десятилетий является стандартом для задней деки и обечаек акустических гитар премиум-класса.

Отделка с открытыми порами.
Отделка с открытыми порами не только улучшает резонанс древесины, но и снижает вес гитары, способствуя более комфортной игре.

Струны с покрытием.
Высококачественное покрытие струн противостоит влажности, грязи и поту, увеличивает срок службы и улучшает играбельность струн.

Крепление грифа ласточкин хвост.
Опытные мастера Cort тщательно и надежно крепят гриф к корпусу, используя соединение типа ""ласточкин хвост"". Такое соединение способствует передаче резонансных колебаний корпуса к грифу без потерь энергии, сохраняя при этом мельчайшие детали звучания.

Крепление грифа: ласточкин хвост.
Корпус: дредноут.
Ширина верхнего порожка: 43мм (1 11/16"").
Верхняя дека: массив ели.
Задняя дека и обечайка: красное дерево.
Гриф: красное дерево.
Окантовка: черная.
Накладка грифа: мербау.
Лады: 20.
Мензура: 648мм (25.5"").
Инкрустация накладки грифа: белые точки.
Колковая механика: литая.
Розетка: черная/кремовая.
Бридж: мербау.
Струны: с покрытием.
Система пружин: улучшенная X-образная.
Цвет: натуральный",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/47972/,15190,TRUE,FALSE
Sevillia IWC-235 MTV Гитара акустическая,Акустическая гитара,Sevillia,"Верхняя дека: Меранти
Нижняя дека и обечайка: Меранти
Гриф: Меранти
Накладка грифа: Палисандр
Мензура: 650 мм
Бридж: Палисандр
Цвет гитары: Натуральный
Страна-производитель: Индонезия",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/47085/,8950,TRUE,FALSE
Акустическая гитара Crafter D-7 NС,Акустическая гитара,Crafter,"Гитара CRAFTER D 7/NC во многом похожа на популярную модель D 6 и отличается верхней декой, выполненной из массива красного кедра. Форма корпуса «дредноут» – это, пожалуй, самая популярная форма акустических гитар. Разработанный компанией Martin в 20-х годах прошлого столетия, «дредноут» до сих пор считается стандартом для вестерн-гитар, который с успехом используется большинством производителей и огромным числом музыкантов, играющих в самых различных стилях. Эти корпуса имеют несколько больший размер, чем классические или оркестровые гитары, а звучание имеет явный акцент на низкие частоты.

Верхняя дека CRAFTER D 7/NC выполнена из массива красного кедра (Red Cedar), что дает гитаре глубокий и мощный звук с большой тональной гибкостью и с фокусировкой на средних частотах. Уникальное отличие этой древесины в том, что гитара сразу имеет более зрелый звук, чем с декой из аналогичной по возрасту ели. Внешне красный кедр имеет благородную текстуру древесины и затемненный цвет, что хорошо подчеркнуто матовым лаком, которым покрыт корпус из красного дерева, обеспечивающий насыщенное и идеально сбалансированное звучание.

Эту гитару вы можете купить в наших розничных магазинах или смело заказать в интернет магазине – все гитары проходят предпродажный осмотр, что гарантирует получение качественного инструмента. В комплекте с гитарой прилагается фирменный утепленный чехол, который надежно защищает её с момента выхода с фабрики.

Характеристики:

Форма корпуса – Dreadnought
Верхняя дека – массив кедра
Нижняя дека и обечайка – красное дерево
Гриф – красное дерево
Накладка на гриф – палисандр
Количество ладов – 20
Мензура – 647,7 мм
Подставка – индийский палисандр
M-образная схема крепления пружин
Хромированные колки
Матовая отделка
Струны – D'Addario EXP-16 (.012 - .053)
Цвет – коричневый
Фирменный чехол в комплекте
Страна-изготовитель – Китай",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/13199/,43750,TRUE,FALSE
Акустическая Гитара Enya NOVA GO/SP1.BK,Акустическая гитара,Enya,"Тревел гитары Enya Nova Go — идеальный компаньон для музыкантов в дороге! Спроектированные с учетом долговечности, легкости и портативности, Enya Nova Go обеспечивают яркий и резонансный акустический звук. Полностью защищенный от атмосферных воздействий корпус из карбона позволяет им выдерживать любые климатические условия без ущерба для своих характеристик.
Nova Go может похвастаться такими инновационными функциями, повышающими удобство игры и комфорт, как дизайн с нулевым ладом и закругленные концы ладов, благодаря чему обеспечивается плавное действие струн и легкие переходы аккордов. Арочная конструкция задней деки усиливает проекцию и резонанс, позволяя вашим мелодиям заполнять любое пространство. Радиус накладки обеспечивает легкую навигацию по ладам, а корпус с закругленными краями - удобный захват при длительной игре. Nova Go демонстрирует тщательное мастерство изготовления и внимание к деталям. Инструмент не только потрясающе выглядит, но и обеспечивает исключительное качество звука, что делает его фаворитом среди взыскательных музыкантов.
Независимо от того, являетесь ли вы профессиональным музыкантом или заядлым путешественником, гитара Nova Go — это хорошо продуманный инструмент, превосходный как по ощущениям, так и по звуку.

Особенности

• Акустическая карбоновая гитара размером 1/2 (35"")
• Металлические лады с закругленными концами
• Арочная задняя дека и радиусная накладка грифа
• Водостойкая поверхность, легко чистится
• Система SP1 AcousticPlus® 2.0

Спецификация

Размер: 35"" (1/2)
Верхняя дека: карбон и поликарбонат
Задняя дека и обечайки: карбон и поликарбонат
Накладка грифа: Radius (R380) — карбон и поликарбонат
Гриф: карбон и поликарбонат
Колки: Golden литые
Порожек: карбон, поликарбонат и нулевой лад
Седло: кость, некомпенсированное
Бридж: карбон и поликарбонат
Струны: D'Addario® EXP16
Ширина порожка: 1-5/8""
Длина мензуры: 23-1/8""
Общая длина: 35""
Количество ладов: 20
Нижняя часть: 11-3/4""
Глубина корпуса: 2-7/8""
Батарея (AcousticPlus®): 2600 мАч/3,6 В
Электроника (опция): Enya SP1 AcousticPlus® 2.0
Bluetooth® (AcousticPlus®): V5.1
Отделка: Глянцевая
Цвет: Sparkle Black
Комплектация: кейс, ткань для полировки и кабель",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/36984/,34190,TRUE,FALSE
Yamaha FSX800C CN электроакустическая гитара,Электроакустическая гитара,Yamaha,"YAMAHA FSX800C - электроакустическая гитара в корпусе концерт уменьшенного форм-фактора с удобным вырезом, доступная по весьма демократичной цене. Это инструмент, который станет отличным выбором для начинающих гитаристов и обучающихся игре на инструменте, а также тех, кто много играет пальцами. Модель удобна при игре, обладает глубоким, насыщенным звучанием. Верхняя дека FSX800C выполнена из цельной древесины ели, это придаёт инструменту прекрасные акустические характеристики и великолепный резонанс. Корпус - из древесины нато/окоуме. Гриф сделан из древесины нато с накладкой из палисандра. Отделка грифа – матовая. Лады инкрустированы маленькими точками. Бридж также выполнен из палисандра. Гитара оснащена качественной электроникой: предусилителем SYSTEM66 с пьезозвукоснимателем SRT. Звук настраивается с помощью трёхполосного эквалайзера и регулятора громкости, имеется встроенный тюнер.

Мензура: 634 мм (25”)
Длина корпуса: 497 мм (19 9/16"")
Длина гитары: 1021 мм (40 3/16"")
Ширина корпуса: 380 мм (14 15/16"")
Глубина корпуса: 90-110 мм (3 9/16”- 4 5/16”)
Ширина верхнего порожка: 43 мм (1 11/16”)
Верхняя дека: Массив, ель
Нижняя дека: Нато/ окуме
Обечайка: Нато/ окуме
Гриф: Нато
Накладка грифа: Палисандр
Радиус накладки грифа: R400 мм (15 3/4"")
Струнодержатель: Палисандр
Верхний порожек: Композит
Нижний порожек: Композит
Пробки струнодержателя: Чёрныйпластик с белыми точками
Колки: Литые хромированные(TM29T)
Окантовка корпуса: Чёрная
Инкрустация розетки: Чёрная + белая
Пикгард: Черепаховый
Покрытие корпуса: Глянцевое
Покрытие грифа: Матовое
Электроника: Пьезодатчик + блок электроники SYSTEM66
Регуляторы: Громкость/3-х полосный эквалайзер с параметрической серединой/тюнер
Аксессуары: Шестигранный анкерный ключ, 2 батарейки тип AA
Футляр: Нет
Тип корпуса: Folk с вырезом
Разъемы: Джек 1/4""
Струны: Yamaha FS50BT или D'Addario EXP11
Расстояние между струнами: 10.0 мм",https://muzlider.ru/catalog/aktsiya/47164/,42392,TRUE,TRUE
Earth60CE-NAT Электроакустика Cort,Электроакустическая гитара,Cort,"В знак уважения к великим винтажным акустическим гитарам, серия Earth воспроизводит их внешний вид, звучание, ощущения и играбельность в бескомпромиссном качестве и по отличной цене. Earth60 представляет собой золотой стандарт акустических гитар: верхняя дека из массива ели. Вместе с нижней декой и обечайками из красного дерева эта комбинация древесины обеспечивает проверенный временем, фирменный, яркий, но при этом насыщенный тон, который любят все музыканты, в то время как полноразмерный корпус дредноут обеспечивает полноценный выход и мощную проекцию.

Верхняя дека из массива ситхинской ели.
Ель обеспечивает идеальный баланс между прочностью и гибкостью, поэтому она пользуется огромной популярностью как древесина, которую выбирают для верхних дек акустических гитар. Универсальный звуковой характер ели делает ее идеальной для самых разных музыкальных жанров и стилей игры.

Задняя дека и обечайка из красного дерева.
Яркое, но естественное звучание с сильными и теплыми средними частотами, красное дерево на протяжении многих десятилетий является стандартом для задней деки и обечаек акустических гитар премиум-класса.

Отделка с открытыми порами.
Отделка с открытыми порами не только улучшает резонанс древесины, но и снижает вес гитары, способствуя более комфортной игре.

Струны с покрытием.
Высококачественное покрытие струн противостоит влажности, грязи и поту, увеличивает срок службы и улучшает играбельность струн.

Крепление грифа ласточкин хвост.
Опытные мастера Cort тщательно и надежно крепят гриф к корпусу, используя соединение типа ""ласточкин хвост"". Такое соединение способствует передаче резонансных колебаний корпуса к грифу без потерь энергии, сохраняя при этом мельчайшие детали звучания.

Крепление грифа: ласточкин хвост.
Корпус: дредноут, с вырезом.
Ширина верхнего порожка: 43мм (1 11/16"").
Верхняя дека: массив ели.
Задняя дека и обечайка: красное дерево.
Гриф: красное дерево.
Окантовка: черная.
Накладка грифа: мербау.
Лады: 20.
Мензура: 648мм (25.5"").
Инкрустация накладки грифа: белые точки.
Колковая механика: литая.
Розетка: черная/кремовая.
Бридж: мербау.
Электроника: Cort CE304T.
Струны: с покрытием.
Система пружин: улучшенная X-образная.
Цвет: натуральный",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/47973/,18590,FALSE,FALSE
Акустическая гитара Fante FT-221-N,Акустическая гитара,Fante,"Форма корпуса: дредноут, с вырезом.
Верхняя дека: липа.
Задняя дека и обечайка: липа.
Гриф: катальпа с анкером.
Накладка грифа и бридж: пластик АБС.
Струны металлические.
Колковая механика: открытая.
Цвет: натуральный.",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/16117/,3990,TRUE,FALSE
Гитара акустическая COWBOY 3810C BK,Акустическая гитара,COWBOY,"модель отличается большим резонансным корпусом и отличной громкостью. Для выступлений перед небольшой аудиторией даже не нужно будет подключать дополнительную аппаратуру.

Дизайн классически прост и лаконичен все идеально, нет ничего лишнего. Потрясающий цвет гитары, очень насыщенный и яркий! Равнодушных к такой гитаре просто не будет! Хромированные колки, аккуратная накладка, блестящий лак такой инструмент будет смотреться красиво как в небольшой компании, так и в концертном зале. Гитара COWBOY 3810C BK является лучшим инструментом в своей ценовой категории.

Характеристики гитара акустическая COWBOY 3810C BK 38"":

Гитара акустическая COWBOY 3810C BK 38""
С ВЫРЕЗОМ,
с металлическими струнами,
верхняя дека - липа,
нижняя дека и обечайка - липа,
гриф - клён,
накладка - клён,
порожек - клён,
цвет - чёрный",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/22438/,3290,TRUE,FALSE
Акустическая гитара Cort AD810-BKS Standard Series,Акустическая гитара,Cort,"Акустическая гитара, Дредноут
Верхняя дека: ель
Нижняя дека и обечайка: махагон
Гриф: махагон (""С""-форма)
Накладка: палисандр
Бридж: палисандр
Колки:  Die-cast Chrome
Мензура: 25.5"" (647.7 мм)
Цвет: черный матовый",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/10098/,10990,TRUE,FALSE
